tournament,year,date,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,model_prediction,model_points,model_decision_margin,blend00_prediction,blend00_points,blend00_decision_margin,blend005_prediction,blend005_points,blend005_decision_margin,blend01_prediction,blend01_points,blend01_decision_margin,blend015_prediction,blend015_points,blend015_decision_margin,blend02_prediction,blend02_points,blend02_decision_margin,blend025_prediction,blend025_points,blend025_decision_margin,blend03_prediction,blend03_points,blend03_decision_margin,blend035_prediction,blend035_points,blend035_decision_margin,blend04_prediction,blend04_points,blend04_decision_margin,blend045_prediction,blend045_points,blend045_decision_margin,blend05_prediction,blend05_points,blend05_decision_margin,blend055_prediction,blend055_points,blend055_decision_margin,blend06_prediction,blend06_points,blend06_decision_margin,blend065_prediction,blend065_points,blend065_decision_margin,blend07_prediction,blend07_points,blend07_decision_margin,blend075_prediction,blend075_points,blend075_decision_margin,blend08_prediction,blend08_points,blend08_decision_margin,blend085_prediction,blend085_points,blend085_decision_margin,blend09_prediction,blend09_points,blend09_decision_margin,blend095_prediction,blend095_points,blend095_decision_margin,blend10_prediction,blend10_points,blend10_decision_margin,oracle_points,oracle_gain,n_best_alphas,best_alphas
Copa América,2015,2015-07-03,Peru,Paraguay,2,0,0.3226292507956953,0.3253442097689288,0.3520265394353758,0.3685755346278441,0.2771084658152092,0.3543159995574515,0.048235743953972,away,home,True,0-1,0,0.0049977797217337,1-0,1,0.0340601485960815,1-0,1,0.0300708167095407,1-0,1,0.0260814848229994,1-0,1,0.0220921529364581,1-0,1,0.0181028210499167,1-0,1,0.014113489163375,1-0,1,0.0101241572768326,1-0,1,0.0061348253902909,1-0,1,0.0021454935037482,0-1,0,0.0018438383827944,0-1,0,0.0058331702693373,0-1,0,0.0098225021558804,0-1,0,0.0138118340424232,0-1,0,0.0178011659289668,0-1,0,0.0217904978155103,0-1,0,0.0257798297020541,0-1,0,0.0245040022260921,0-1,0,0.0196274652994338,0-1,0,0.0147509283727756,0-1,0,0.0098743914461171,0-1,0,0.0049978545194582,1,1,9,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend04"
Copa América,2015,2015-06-24,Chile,Uruguay,1,0,0.3441113348803846,0.2794108068845876,0.3764778582350278,0.5603855588166416,0.2638397581402917,0.1757746830435714,0.2162742239360046,away,home,True,1-2,0,0.0137971668317757,2-1,1,0.0268598938505093,2-1,1,0.0263415808242253,2-1,1,0.0258232677979415,2-1,1,0.0253049547716573,2-1,1,0.0247866417453732,2-1,1,0.0242683287190892,2-1,1,0.0237500156928052,2-1,1,0.0232317026665209,2-1,1,0.0227133896402369,2-1,1,0.0221950766139527,2-1,1,0.0216767635876684,2-1,1,0.0211584505613842,2-1,1,0.0206401375350999,2-1,1,0.0201218245088155,2-1,1,0.0196035114825313,2-1,1,0.019085198456247,2-1,1,0.0185668854299626,2-1,1,0.0180485724036782,2-1,1,0.0175302593773939,1-2,0,0.0134306396978368,1-2,0,0.0137984423633108,1,1,19,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend09"
Copa América,2016,2016-06-22,Colombia,Chile,0,2,0.3790820408564013,0.3167110081657936,0.304206950977805,0.3108098709537175,0.2982542752222876,0.3909358538234949,0.0867289028459399,home,away,True,1-0,0,0.0677245979642627,0-1,1,0.1025863331723411,0-1,1,0.1014483971099406,0-1,1,0.1003104610475407,0-1,1,0.0991725249851407,0-1,1,0.0980345889227406,0-1,1,0.0958342181069831,0-1,1,0.0817161520062167,0-1,1,0.0675980859054508,0-1,1,0.0534800198046858,0-1,1,0.0393619537039214,0-1,1,0.0252438876031579,0-1,1,0.0111258215023958,1-0,0,0.002992244598366,1-0,0,0.017110310699127,1-0,0,0.0312283767998875,1-0,0,0.0453464429006471,1-0,0,0.0504167218508841,1-0,0,0.0547439873284452,1-0,0,0.059071252806006,1-0,0,0.0633985182835663,1-0,0,0.067725783761127,1,1,12,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05"
Copa América,2016,2016-06-05,Mexico,Uruguay,3,1,0.3184536341588107,0.2806276906011365,0.400918675240053,0.3890313812138194,0.3198906430885172,0.2910779756971544,0.109840699542644,away,home,True,1-2,0,0.0034782811165267,1-0,1,0.0066646943161072,1-0,1,0.006604239153316,1-0,1,0.006543783990525,1-0,1,0.0064833288277339,1-0,1,0.0064228736649428,1-0,1,0.0063624185021518,1-0,1,0.0063019633393607,1-0,1,0.0050365749472537,1-0,1,0.0030429304008757,1-0,1,0.0010492858544981,1-1,0,0.0009443586918792,1-1,0,0.0029380032382565,1-1,0,0.0036919731339162,1-2,0,0.0031449729989416,1-2,0,0.00319262408896,1-2,0,0.0032402751789784,1-2,0,0.0032879262689967,1-2,0,0.0033355773590149,1-2,0,0.0033832284490332,1-2,0,0.0034308795390516,1-2,0,0.0034785306290698,1,1,10,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04"
Copa América,2019,2019-06-24,Chile,Uruguay,0,1,0.3729494692492249,0.2813651601184231,0.3456853706323519,0.2827473672964089,0.2801224434558863,0.4371301892481872,0.091444818615594,home,away,True,2-1,0,0.012196424859925,1-2,1,0.0133535104239966,1-2,1,0.0132138370076281,1-2,1,0.0130741635912592,1-2,1,0.0129344901748904,1-2,1,0.0127948167585216,1-2,1,0.0126551433421531,1-2,1,0.0125154699257842,1-2,1,0.0123757965094154,1-2,1,0.0122361230930465,1-2,1,0.0120964496766776,1-2,1,0.0119567762603089,1-2,1,0.0118171028439402,1-2,1,0.0116774294275713,1-2,1,0.0115377560112024,1-2,1,0.0113980825948336,1-2,1,0.0112584091784647,1-2,1,0.0111187357620959,1-2,1,0.0034242961569144,2-1,0,0.0112822056027729,2-1,0,0.0120498701749887,2-1,0,0.0121973739061043,1,1,18,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08"
Copa América,2021,2021-07-02,Peru,Paraguay,3,3,0.407876156607053,0.351835386293417,0.2402884570995298,0.334230728296568,0.3457874171626734,0.3199818545402532,0.079693397440976,home,draw,True,1-0,0,0.0060953016505362,0-0,1,0.0214560640088796,0-0,1,0.021474827793556,0-0,1,0.0214935915782323,0-0,1,0.0215123553629089,0-0,1,0.0215311191475854,0-0,1,0.0215498829322619,0-0,1,0.0215686467169382,0-0,1,0.0215874105016147,0-0,1,0.021606174286291,0-0,1,0.0216249380709674,0-0,1,0.0216437018556439,0-0,1,0.0216624656403203,0-0,1,0.0216812294249968,0-0,1,0.0216999932096733,0-0,1,0.0217187569943496,0-0,1,0.021737520779026,0-0,1,0.0163719137042669,0-0,1,0.0107550685252773,0-0,1,0.0051382233462881,1-0,0,0.0004786218327007,1-0,0,0.0060954670116893,1,1,19,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend09"
Copa América,2021,2021-06-27,Venezuela,Peru,0,1,0.2541204519068784,0.3542149501439279,0.3916645979491937,0.2523819526776324,0.3262960008624111,0.4213220464604462,0.0296574485110076,away,away,False,0-0,0,0.0199489453776213,0-1,3,0.0254282099094574,0-1,3,0.0253387135452803,0-1,3,0.025249217181103,0-1,3,0.025159720816926,0-1,3,0.0250702244527487,0-1,3,0.0249807280885716,0-1,3,0.0248912317243942,0-1,3,0.024801735360217,0-1,3,0.0247122389960399,0-1,3,0.0246227426318628,0-1,3,0.0245332462676853,0-1,3,0.0244437499035081,0-1,3,0.0199603614610351,0-1,3,0.0147560770344912,0-1,3,0.009551792607947,0-1,3,0.0043475081814023,0-0,0,0.0008567762451419,0-0,0,0.0060610606716867,0-0,0,0.0112653450982318,0-0,0,0.0164696295247778,0-0,0,0.0199494157323437,3,3,16,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07"
Copa América,2024,2024-07-06,Uruguay,Brazil,0,0,0.1824386805214357,0.3122013364402098,0.5053599830383546,0.3095027780469875,0.3357147666504229,0.3547824553030748,0.1505775277355224,away,away,False,0-1,0,0.0658170932271886,0-0,3,0.0610548900225654,0-0,3,0.0500370743843903,0-0,3,0.0344898765747443,0-0,3,0.0189426787650975,0-0,3,0.00339548095545,0-1,0,0.0121517168541975,0-1,0,0.0276989146638467,0-1,0,0.0432461124734964,0-1,0,0.054052906003065,0-1,0,0.0550334950214788,0-1,0,0.0560140840398929,0-1,0,0.056994673058307,0-1,0,0.0579752620767211,0-1,0,0.0589558510951353,0-1,0,0.0599364401135494,0-1,0,0.0609170291319638,0-1,0,0.0618976181503782,0-1,0,0.0628782071687925,0-1,0,0.063858796187207,0-1,0,0.0648393852056213,0-1,0,0.0658199742240358,3,3,5,"blend005,blend00,blend015,blend01,blend02"
Copa América,2024,2024-07-05,Venezuela,Canada,1,1,0.4059324565337057,0.3021839874336134,0.2918835560326808,0.3491280294308789,0.3265916280394605,0.3242803425301584,0.0568044271030757,home,home,False,1-0,0,0.0191525078029927,1-1,3,0.0405728223614232,1-1,3,0.0404212130148362,1-1,3,0.0367612757571473,1-1,3,0.0297448899723161,1-1,3,0.0227285041874856,1-1,3,0.0157121184026537,1-1,3,0.008695732617822,1-1,3,0.0016793468329899,1-0,0,0.0053370389518426,1-0,0,0.0123534247366756,1-0,0,0.0178132481249621,1-0,0,0.0179472600847179,1-0,0,0.0180812720444736,1-0,0,0.0182152840042294,1-0,0,0.0183492959639852,1-0,0,0.0184833079237407,1-0,0,0.0186173198834966,1-0,0,0.0187513318432523,1-0,0,0.0188853438030081,1-0,0,0.019019355762764,1-0,0,0.0191533677225198,3,3,8,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03"
Copa América,2024,2024-07-01,Bolivia,Panama,1,3,0.3618525967352277,0.2766700882836395,0.3614773149811327,0.1399793432547158,0.2345219054111036,0.625498751333708,0.2640214363528115,home,away,True,2-1,0,0.0005547517519848,1-2,1,0.0307816543481227,1-2,1,0.0301320114370078,1-2,1,0.0294823685258925,1-2,1,0.0288327256147772,1-2,1,0.0281830827036622,1-2,1,0.0275334397925467,1-2,1,0.0268837968814317,1-2,1,0.0262341539703164,1-2,1,0.0255845110592014,1-2,1,0.0249348681480863,1-2,1,0.024285225236971,1-2,1,0.0236355823258562,1-2,1,0.0229859394147409,1-2,1,0.022336296503626,1-2,1,0.021686653592511,1-2,1,0.0210370106813961,1-2,1,0.0203873677702812,1-2,1,0.0197377248591664,1-2,1,0.0190880819480516,1-2,1,0.0184384390369368,2-1,0,0.0005548161162132,1,1,20,"blend005,blend00,blend015,blend01,blend025,blend02,blend035,blend03,blend045,blend04,blend055,blend05,blend065,blend06,blend075,blend07,blend085,blend08,blend095,blend09"
