year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2006,26,Czech Republic,Ghana,0.09218445569041453,0.6646472690760276,0.22425226146640556,0.1111004694575669,0.5724628133853858,0.2634795387784344,0.1640576478357254,home,home,False,2-0,2-0,False,0-2,0,0,0
2006,27,Brazil,Australia,0.11790540718481564,0.660500123442451,0.21317704172842752,0.12632283482912152,0.7784055306271178,0.16216338777331205,0.059431081599272524,home,home,False,2-0,2-0,False,2-0,3,3,0
2006,28,Japan,Croatia,0.14149297683333728,0.26676831127685624,0.302261852170868,0.4309698365522757,0.1640576478357254,0.2634795387784344,0.5724628133853858,away,away,False,0-1,0-1,False,0-0,0,0,0
2006,29,France,South Korea,0.018878413496988093,0.6629175473181489,0.2441741233755562,0.09290832930629489,0.6440391338213889,0.24662723472494824,0.10933363145411902,home,home,False,2-0,2-0,False,1-1,0,0,0
2006,30,Togo,Switzerland,0.05680257039317029,0.17210603210091768,0.24182974248262867,0.5860642254164536,0.11905254571525926,0.2380806584753053,0.6428667958098124,away,away,False,0-2,0-2,False,0-2,3,3,0
2006,31,Spain,Tunisia,0.13112288914808298,0.58487708579626,0.2588161204505605,0.1563067937531795,0.715999974944088,0.21092545870749171,0.07307456634791033,home,home,False,2-0,2-0,False,3-1,1,1,0
2006,32,Saudi Arabia,Ukraine,0.07143760431139412,0.13656148979007776,0.2718538353389805,0.5915846748709417,0.10907751724344986,0.22790020357439647,0.663022279182518,away,away,False,0-2,0-2,False,0-4,1,1,0
2006,34,Costa Rica,Poland,0.05878325626301546,0.24330468261699006,0.24221189510264315,0.5144834222803668,0.18452142635375457,0.2624804381635754,0.55299813548223,away,away,False,1-2,1-2,False,1-2,3,3,0
2006,35,Sweden,England,0.029549067026998443,0.3042145959220768,0.30985293721098783,0.3859324668669354,0.2821443727839924,0.33940200423772493,0.37845362297776,away,away,False,0-1,1-1,True,2-2,0,1,1
2006,36,Paraguay,Trinidad and Tobago,0.1458081593066239,0.6542454344957784,0.22769806151846284,0.11805650398575877,0.508437275188943,0.22820290078558209,0.2633598240250519,home,home,False,2-0,2-0,False,2-0,3,3,0
2006,37,Netherlands,Argentina,0.16205532070405382,0.41621664322571866,0.2905374171183807,0.29324593965590057,0.25416132252190987,0.29209766390028535,0.45374101357829477,home,away,True,2-1,1-2,True,0-0,0,0,0
2006,38,Ivory Coast,Serbia,0.13795367070474843,0.2945778873525048,0.29000361048232537,0.41541850216516996,0.4325315580570137,0.27363900493376225,0.29382943700874514,away,home,True,1-2,2-1,True,3-2,0,1,1
2006,39,Portugal,Mexico,0.07115053375745789,0.48267298104856815,0.2820763904891085,0.2352506284623234,0.4115224472908895,0.34075296600172883,0.24772458670694017,home,home,False,2-0,2-0,False,2-1,2,2,0
2006,40,Iran,Angola,0.056679171785049776,0.4307960540466828,0.28069945833419335,0.28850448761912373,0.37411688226187445,0.2828712108500075,0.3430119068886008,home,home,False,2-1,2-1,False,1-1,0,0,0
2006,41,Czech Republic,Italy,0.15086480141911773,0.3452045092104992,0.32371918831240304,0.33107630247709763,0.2275731447424248,0.2904857513611188,0.48194110389597444,home,away,True,1-1,0-1,True,0-2,0,1,1
2006,42,Ghana,United States,0.21268338449900756,0.1975067820889159,0.353543163105977,0.44895005480510713,0.4101901665876887,0.2678144161790948,0.32199541723274705,away,home,True,0-1,1-0,True,2-1,0,1,1
