year,game_id,lh_raw,la_raw,market_total,p_home,p_draw,p_away,actual_home,actual_away,rho
2014,1,1.874710225510482,0.6709583925316875,2.5597853327327824,0.7449602218456156,0.18301308690251167,0.07202669125232405,3,1,-0.0318514961972748
2014,2,1.3736604500562974,0.93188301969002,2.170078287891868,0.44264837750700703,0.3039346352774424,0.25341698721504846,1,0,-0.0318514961972748
2014,3,1.1807433252810795,0.7787555030658165,2.3236265838570778,0.5262894206364053,0.28666958133761333,0.18704099802548496,1,5,-0.0318514961972748
2014,4,1.594310685237885,0.8987012448172912,2.651606215410028,0.6843147094178696,0.2127737361594717,0.10291155442218444,3,1,-0.0318514961972748
2014,5,1.0483354322603042,0.6205824645912814,2.032260768404353,0.5261165745964644,0.2920027992503992,0.18188062615262748,3,0,-0.0318514961972748
2014,6,1.8227962734477317,0.7311852603113094,2.409120154944167,0.6762802822076976,0.22468284432639402,0.09903687346635473,1,3,-0.0318514961972748
2014,7,1.3365420465546995,0.9381861602445252,2.2362247651215585,0.38372234910409064,0.3204326778181763,0.2958449730782112,1,2,-0.0318514961972748
2014,8,1.665132843579356,1.1897286260823756,2.4815424442318634,0.3576495810189643,0.2874338253267819,0.3549165936537564,2,1,-0.0318514961972748
2014,9,1.0256479814249926,1.093429102950129,2.354326821357533,0.39998157429605813,0.29607547571799864,0.30394294998645055,2,1,-0.0318514961972748
2014,10,1.4690769627582116,0.582979242237672,2.8261356895624408,0.7741488274804718,0.1568259620232782,0.06902521049675808,3,0,-0.0318514961972748
2014,11,2.1304371713404477,0.9262221677539912,3.0803422412361625,0.7455640764054097,0.1677969935978877,0.08663892999625873,2,1,-0.0318514961972748
2014,12,1.3614614315547497,1.2789093495672696,2.772899464533975,0.4668383148720366,0.2724183333188426,0.260743351808623,4,0,-0.0318514961972748
2014,13,0.9281873315950967,1.1342462856978155,2.303666334092726,0.19629751328325523,0.27725411917564363,0.5264483675416102,0,0,-0.0318514961972748
2014,14,1.112636212305099,1.0665830016545013,2.395131622653909,0.39831348111352755,0.2813221073716826,0.3203644115142951,1,2,-0.0318514961972748
2014,15,1.5691523212941312,0.8305116609133341,2.887359576347633,0.7281896183457275,0.18203107682037403,0.0897793048333979,2,1,-0.0318514961972748
2014,16,1.9074925753789074,0.7343522168169823,2.9558295788503948,0.726550669248368,0.17686872676748272,0.09658060398466034,0,0,-0.0318514961972748
2014,17,1.4621392640610693,0.7235234051796291,2.4164263177462337,0.5293603888895828,0.2667065348096878,0.20393307630122293,1,1,-0.0318514961972748
