year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2024,2024-01-18,Costa de Marfil,Nigeria,2.1267,3.0183,3.795
2024,2024-01-18,Guinea Ecuatorial,Guinea-Bisáu,2.3817,2.9783,3.205
2024,2024-01-17,RD Congo,Zambia,2.4717,2.9117,3.14
2024,2024-01-17,Marruecos,Tanzania,1.185,5.98,18.1667
2024,2024-01-16,Mali,Sudáfrica,1.7817,3.2217,5.1733
2024,2024-01-16,Túnez,Namibia,1.3933,4.0917,9.3817
2024,2024-01-16,Burkina Faso,Mauritania,1.905,3.07,4.6233
2024,2024-01-15,Argelia,Angola,1.5317,3.67,7.2067
2024,2024-01-15,Camerún,Guinea,2.4033,2.8433,3.3633
2024,2024-01-15,Senegal,Gambia,1.3017,4.7,11.9167
2024,2024-01-14,Ghana,Cabo Verde,1.9367,3.0283,4.5883
2024,2024-01-14,Egipto,Mozambique,1.395,4.2633,8.8683
2024,2024-01-14,Nigeria,Guinea Ecuatorial,1.4617,3.81,8.3017
2024,2024-01-13,Costa de Marfil,Guinea-Bisáu,1.1883,5.9283,16.85
2022,2022-02-06,Senegal,Egipto,2.22,2.7525,4.375
2022,2022-02-05,Burkina Faso,Camerún,4.275,3.475,1.8725
2022,2022-02-03,Camerún,Egipto,2.305,2.755,3.935
2022,2022-02-02,Burkina Faso,Senegal,5.45,2.916,1.896
2022,2022-01-30,Senegal,Guinea Ecuatorial,1.526,3.524,8.32
2022,2022-01-30,Egipto,Marruecos,3.728,2.862,2.272
2022,2022-01-29,Burkina Faso,Túnez,3.814,2.784,2.292
2022,2022-01-29,Gambia,Camerún,8.16,3.412,1.55
2022,2022-01-26,Mali,Guinea Ecuatorial,1.706,3.214,6.05
2022,2022-01-26,Costa de Marfil,Egipto,2.246,2.89,3.76
2022,2022-01-25,Marruecos,Malaui,1.304,4.716,12.3
2022,2022-01-25,Senegal,Cabo Verde,1.588,3.336,7.68
2022,2022-01-24,Camerún,Comores,1.044,12.2,45.4
2022,2022-01-24,Guinea,Gambia,2.488,2.812,3.272
2022,2022-01-23,Nigeria,Túnez,1.796,3.204,5.46
2022,2022-01-23,Burkina Faso,Gabón,2.304,2.796,3.75
2022,2022-01-20,Gambia,Túnez,5.36,3.184,1.774
2022,2022-01-20,Mali,Mauritania,1.26,5.15,13.9
2022,2022-01-20,Costa de Marfil,Argelia,3.008,3.116,2.43
2022,2022-01-20,Sierra Leona,Guinea Ecuatorial,3.636,2.644,2.436
2022,2022-01-19,Egipto,Sudán,1.244,5.67,12.8
2022,2022-01-19,Guinea-Bisáu,Nigeria,5.05,3.5,1.726
2022,2022-01-18,Ghana,Comores,1.284,5.14,11.6
2022,2022-01-18,Gabón,Marruecos,6.51,2.85,1.808
2022,2022-01-18,Zimbabue,Guinea,6.77,3.604,1.566
2022,2022-01-18,Malaui,Senegal,11.8,4.45,1.32
2022,2022-01-17,Burkina Faso,Etiopía,1.562,3.81,6.18
2022,2022-01-17,Cabo Verde,Camerún,6.78,3.468,1.596
2022,2022-01-16,Argelia,Guinea Ecuatorial,1.304,4.838,11.6
2022,2022-01-16,Costa de Marfil,Sierra Leona,1.282,4.79,14.0
2022,2022-01-16,Túnez,Mauritania,1.432,4.06,8.6
2022,2022-01-16,Gambia,Mali,7.18,3.12,1.666
2022,2022-01-15,Guinea-Bisáu,Egipto,7.2,3.888,1.502
2022,2022-01-15,Nigeria,Sudán,1.192,5.74,20.2
2022,2022-01-14,Gabón,Ghana,6.39,3.284,1.698
2022,2022-01-14,Marruecos,Comores,1.274,4.988,14.0
2022,2022-01-14,Malaui,Zimbabue,3.3,2.802,2.482
2022,2022-01-14,Senegal,Guinea,1.96,3.032,4.464
2022,2022-01-13,Cabo Verde,Burkina Faso,3.528,2.594,2.54
2022,2022-01-13,Camerún,Etiopía,1.238,5.19,15.8
2022,2022-01-12,Guinea Ecuatorial,Costa de Marfil,9.48,3.914,1.43
2022,2022-01-12,Mauritania,Gambia,3.46,2.662,2.526
2022,2022-01-12,Túnez,Mali,2.914,2.746,2.852
2022,2022-01-11,Sudán,Guinea-Bisáu,3.456,2.716,2.47
2022,2022-01-11,Nigeria,Egipto,2.978,2.796,2.702
2022,2022-01-11,Argelia,Sierra Leona,1.136,7.28,26.6
2022,2022-01-10,Comores,Gabón,3.618,2.814,2.316
2022,2022-01-10,Marruecos,Ghana,2.39,2.656,3.758
2022,2022-01-10,Guinea,Malaui,1.5,3.766,8.1
2022,2022-01-10,Senegal,Zimbabue,1.276,5.08,12.2
2022,2022-01-09,Etiopía,Cabo Verde,3.956,2.932,2.106
2022,2022-01-09,Camerún,Burkina Faso,1.638,3.472,5.91
2019,2019-07-19,Senegal,Argelia,2.81,2.868,2.918
2019,2019-07-17,Túnez,Nigeria,3.312,3.184,2.246
2019,2019-07-14,Argelia,Nigeria,2.59,2.952,3.04
2019,2019-07-14,Senegal,Túnez,1.882,3.15,4.85
2019,2019-07-11,Madagascar,Túnez,5.19,3.25,1.802
2019,2019-07-11,Costa de Marfil,Argelia,3.636,3.014,2.226
