home_team,away_team,ou_lines,avg_over,avg_under,implied_xg
Argentina,Francia,2.25,1.94,1.97,2.689648285110457
Croacia,Marruecos,2.75,1.93,1.91,3.1474644991638803
Francia,Marruecos,2.25,1.98,1.92,2.6429867119350217
Argentina,Croacia,2.25,2.04,1.835,2.568161027963228
Inglaterra,Francia,2.25,2.0,1.9,2.622401238433739
Marruecos,Portugal,2.5,2.014,1.778,2.5497431261781918
Países Bajos,Argentina,2.25,2.075,1.805,2.5352873694124822
Croacia,Brasil,2.5,1.902,1.894,2.669789431477524
Portugal,Suiza,2.5,1.89,1.914,2.686873657099602
Marruecos,España,2.25,1.87,2.055,2.7708415512302897
Brasil,Corea del Sur,2.75,1.83,2.095,3.3172985124971492
Japón,Croacia,2.25,2.025,1.875,2.5968097361705067
Inglaterra,Senegal,2.25,2.04,1.835,2.568161027963228
Francia,Polonia,2.75,1.97,1.93,3.1359012168440072
Argentina,Australia,2.75,1.99,1.88,3.0945030611266273
Países Bajos,EE. UU.,2.25,2.005,1.895,2.617270644938971
Camerún,Brasil,2.75,1.82,2.105,3.329447989629846
Serbia,Suiza,2.5,1.93,1.8767,2.645770330896307
Corea del Sur,Portugal,2.5,1.966,1.828,2.600967925837377
Ghana,Uruguay,2.5,2.014,1.792,2.5574448643098115
Costa Rica,Alemania,3.75,2.045,1.83,4.017481763385996
Japón,España,2.5,1.8617,1.96,2.7265664568903563
Croacia,Bélgica,2.5,2.0067,1.8017,2.5663320027532017
Canadá,Marruecos,2.25,2.03,1.97,2.643760660563804
Arabia Saudí,México,2.5,1.918,1.887,2.657575003356438
Polonia,Argentina,2.5,2.0433,1.7633,2.5275013889559186
Australia,Dinamarca,2.5,1.91,1.888,2.6623325380103644
Túnez,Francia,2.25,1.89,2.02,2.742068809312992
Gales,Inglaterra,2.5,1.99,1.812,2.580211124106622
Irán,EE. UU.,2.25,1.905,2.005,2.7262661926561544
Países Bajos,Catar,3.25,1.965,1.935,3.6537594495362793
Ecuador,Senegal,2.0,1.98,1.92,2.6429867119350217
Portugal,Uruguay,2.25,1.97,1.935,2.6559282157476107
Brasil,Suiza,2.25,1.85,2.065,2.787070205653758
Corea del Sur,Ghana,2.25,2.04,1.835,2.568161027963228
Camerún,Serbia,2.25,1.835,2.04,2.782864261319046
España,Alemania,2.75,2.03,1.875,3.068987826770421
Croacia,Canadá,2.25,1.89,2.025,2.7446180559741316
Bélgica,Marruecos,2.25,1.995,1.905,2.6275380870489213
Japón,Costa Rica,2.5,2.0683,1.7567,2.512025857189851
Argentina,México,2.25,1.87,2.045,2.765781757955027
Francia,Dinamarca,2.25,1.89,2.025,2.7446180559741316
Polonia,Arabia Saudí,2.25,1.99,1.91,2.6326812454953354
Túnez,Australia,2.25,1.975,1.925,2.6481491305717326
Inglaterra,EE. UU.,2.5,1.9967,1.8033,2.5721343550827687
Países Bajos,Ecuador,2.25,2.095,1.795,2.520519638865194
Catar,Senegal,2.25,2.025,1.875,2.5968097361705067
Gales,Irán,2.25,2.055,1.82,2.552877840405813
Brasil,Serbia,2.75,1.96,1.945,3.150600666688829
Portugal,Ghana,2.75,1.885,2.02,3.2395704488136645
Uruguay,Corea del Sur,2.25,1.945,1.96,2.681856556671937
Suiza,Camerún,2.25,1.98,1.92,2.6429867119350217
Bélgica,Canadá,2.75,1.985,1.915,3.1183319289921867
España,Costa Rica,3.25,2.01,1.865,3.5835796248105383
Alemania,Japón,3.0,1.9,2.0,3.733519420110079
Marruecos,Croacia,2.25,1.945,1.96,2.681856556671937
Francia,Australia,3.0,1.97,1.935,3.650742366872819
México,Polonia,2.25,2.0,1.905,2.6250313619485866
Dinamarca,Túnez,2.25,1.875,2.04,2.7604792922707664
Argentina,Arabia Saudí,3.0,1.9,2.015,3.7425284271979393
EE. UU.,Gales,2.25,2.005,1.89,2.614632028603987
Senegal,Países Bajos,2.25,1.975,1.93,2.6507625683477434
Inglaterra,Irán,2.25,1.96,1.94,2.6636757973263805
Catar,Ecuador,2.0,1.89,2.02,2.742068809312992
