bucket,matches,avg_model,avg_market_line,avg_implied_xg,avg_gap_line,avg_gap_xg,avg_xg_vs_line
<2.5,14,2.2941,2.2857142857142856,2.4238085993625313,0.00838571428571425,-0.12970859936253165,0.1380943136482459
2.5-3.0,16,2.71135,2.390625,2.5340648775844627,0.320725,0.1772851224155372,0.14343987758446278
>3.0,18,3.434827777777778,2.7916666666666665,2.941213185768917,0.6431611111111112,0.493614592008861,0.14954651910225025
