home_team,away_team,ou_line,avg_over,avg_under
Suiza,Francia,2.5,,
Italia,Costa Rica,2.5,,
Japón,Grecia,2.5,,
Uruguay,Inglaterra,2.5,,
Colombia,Costa de Marfil,2.5,,
Camerún,Croacia,2.5,,
España,Chile,2.5,,
Australia,Países Bajos,2.5,,
Rusia,Corea del Sur,2.5,,
Brasil,México,2.5,,
Bélgica,Argelia,2.5,,
Ghana,EE. UU.,2.5,,
Irán,Nigeria,2.5,,
Alemania,Portugal,2.5,,
Argentina,Bosnia-Herzegovina,2.5,,
Francia,Honduras,2.5,,
Suiza,Ecuador,2.5,,
Costa de Marfil,Japón,2.5,,
Inglaterra,Italia,2.5,,
Uruguay,Costa Rica,2.5,,
Colombia,Grecia,1.5,,
Chile,Australia,2.5,,
España,Países Bajos,2.5,,
México,Camerún,1.5,,
Brasil,Croacia,2.5,,
