match_date,prediction_timestamp,home_team,away_team,home_odds,draw_odds,away_odds,ou_line,over_odds,under_odds,calculated_implied_xg,pred_home,pred_away,prediction,expected_pts,second_best_prediction,second_best_expected_pts,decision_margin,lambda_home,lambda_away,lambda_total,home_win,draw,away_win
2026-06-13,2026-06-14 03:57:20,Australia,Turkey,5.62,3.76,1.724,2.25,1.869,2.04,2.4949,1,2,1-2,0.8009,0-2,0.7818,0.0191,1.2132,1.3077,2.5208,0.2364,0.2694,0.4942
2026-06-13,2026-06-10 17:54:47,Brazil,Morocco,1.6647,3.7507,5.5867,2.25,1.822,2.0433,2.5191,2,0,2-0,0.8562,2-1,0.8531,0.0031,1.4635,0.9707,2.4342,0.5402,0.2637,0.1961
2026-06-13,2026-06-10 20:59:07,Brazil,Morocco,1.6647,3.7507,5.5867,2.25,1.822,2.0433,2.5191,2,0,2-0,0.8586,2-1,0.8547,0.004,1.4714,0.9628,2.4343,0.5418,0.2634,0.1947
2026-06-13,2026-06-13 21:52:30,Brazil,Morocco,1.688,3.7767,5.68,2.25,1.93,1.935,2.4198,2,0,2-0,0.8568,2-1,0.8474,0.0094,1.3971,0.9142,2.3114,0.5367,0.2685,0.1948
2026-06-13,2026-06-10 17:54:47,Haiti,Scotland,5.8067,4.3233,1.5537,2.5,1.9057,1.94,2.6922,0,2,0-2,0.9816,1-2,0.9494,0.0322,0.7413,2.0063,2.7476,0.144,0.2159,0.6401
2026-06-13,2026-06-10 20:59:07,Haiti,Scotland,5.8067,4.3233,1.5537,2.5,1.9057,1.94,2.6922,0,2,0-2,0.9808,1-2,0.949,0.0318,0.7442,2.0032,2.7474,0.1443,0.2162,0.6396
2026-06-13,2026-06-14 00:32:10,Haiti,Scotland,6.0133,4.5267,1.545,2.25,1.8267,2.0433,2.5168,0,2,0-2,0.996,1-2,0.9565,0.0395,0.701,1.887,2.588,0.1436,0.2169,0.6395
2026-06-13,2026-06-11 07:41:12,Netherlands,Japan,2.0,3.6,3.7367,2.5,1.95,1.8967,2.6461,2,1,2-1,0.754,2-0,0.7444,0.0096,1.5633,1.1115,2.6748,0.4777,0.2654,0.2569
2026-06-13,2026-06-10 17:54:47,Qatar,Switzerland,13.94,6.86,1.2067,2.75,1.88,1.9767,2.9571,0,2,0-2,1.1551,1-2,1.113,0.0421,0.6982,2.3351,3.0333,0.0714,0.15,0.7787
2026-06-13,2026-06-10 20:59:07,Qatar,Switzerland,13.94,6.86,1.2067,2.75,1.88,1.9767,2.9571,0,2,0-2,1.1551,1-2,1.113,0.0421,0.6983,2.3348,3.0331,0.0714,0.15,0.7786
2026-06-13,2026-06-13 06:00:14,Qatar,Switzerland,13.87,6.9333,1.2167,3.0,1.94,1.895,3.1385,0,2,0-2,1.1373,1-2,1.103,0.0343,0.7363,2.4618,3.1981,0.0719,0.1467,0.7814
2026-06-13,2026-06-13 06:02:42,Qatar,Switzerland,13.9286,6.6143,1.2114,3.0,1.9233,1.8733,3.136,0,2,0-2,1.1366,1-2,1.1022,0.0344,0.7358,2.46,3.1957,0.0702,0.149,0.7808
2026-06-13,2026-06-13 18:21:46,Qatar,Switzerland,15.67,7.5167,1.1987,2.75,1.8167,2.0533,3.0284,0,2,0-2,1.1601,1-2,1.1208,0.0393,0.7133,2.3847,3.098,0.0686,0.1435,0.7879
2026-06-14,2026-06-10 17:54:47,Germany,Curaçao,1.03,18.0,43.3333,4.25,1.9367,1.9013,4.3951,3,0,3-0,1.2703,4-0,1.2561,0.0143,3.7882,0.5705,4.3587,0.9328,0.0511,0.0161
2026-06-14,2026-06-10 20:59:07,Germany,Curaçao,1.03,18.0,43.3333,4.25,1.9367,1.9013,4.3951,3,0,3-0,1.2701,4-0,1.2556,0.0145,3.7851,0.5729,4.358,0.9326,0.0512,0.0162
2026-06-14,2026-06-14 16:20:21,Germany,Curaçao,1.0423,21.3333,42.0,4.25,1.9243,1.9343,4.4236,3,0,3-0,1.2669,4-0,1.2545,0.0124,3.8076,0.5763,4.3839,0.9317,0.0494,0.0189
2026-06-14,2026-06-14 16:31:20,Ivory Coast,Ecuador,3.39,2.8467,2.59,1.75,1.8533,1.99,1.9599,0,1,0-1,0.7085,0-0,0.6835,0.025,0.7244,1.0942,1.8186,0.2635,0.3388,0.3977
2026-06-14,2026-06-14 16:26:35,Netherlands,Japan,2.08,3.5,3.75,2.25,1.821,2.043,2.5195,2,1,2-1,0.739,2-0,0.7335,0.0056,1.4961,1.0637,2.5598,0.4664,0.2754,0.2581
2026-06-14,2026-06-14 16:39:56,Sweden,Tunisia,1.947,3.437,4.343,2.25,1.908,1.953,2.438,2,1,2-1,0.7597,2-0,0.7564,0.0034,1.3857,1.0365,2.4222,0.4764,0.2829,0.2408
2026-06-14,2026-06-15 01:19:00,Sweden,Tunisia,1.8928,3.4,4.3085,2.25,1.9033,1.9233,2.4267,2,1,2-1,0.7662,2-0,0.7634,0.0029,1.3776,1.0305,2.4082,0.4804,0.2814,0.2382
2026-06-15,2026-06-15 06:45:04,Belgium,Egypt,1.602,3.975,5.7813,2.5,1.9586,1.8505,2.6169,2,0,2-0,0.9281,2-1,0.9102,0.0179,1.7504,0.8469,2.5973,0.5949,0.2413,0.1639
2026-06-15,2026-06-15 06:45:26,Belgium,Egypt,1.602,3.975,5.7813,2.5,1.9586,1.8506,2.617,2,0,2-0,0.9281,2-1,0.9102,0.0179,1.7504,0.8469,2.5973,0.5949,0.2413,0.1639
2026-06-15,2026-06-15 18:35:14,Belgium,Egypt,1.575,4.0625,6.2025,2.5,1.9375,1.895,2.6516,2,0,2-0,0.9392,2-1,0.9225,0.0168,1.7716,0.8572,2.6288,0.6037,0.2383,0.1579
2026-06-15,2026-06-15 21:06:54,Iran,New Zealand,1.7929,3.4857,4.9,2.0,1.7767,2.0367,2.2537,2,0,2-0,0.9493,1-0,0.9212,0.0281,1.6949,0.4768,2.1717,0.5906,0.2585,0.1509
2026-06-15,2026-06-16 00:35:54,Iran,New Zealand,1.8057,3.4743,4.8214,2.0,1.7767,2.0367,2.2537,2,0,2-0,0.9454,1-0,0.9174,0.028,1.6949,0.4768,2.1717,0.5882,0.259,0.1528
2026-06-15,2026-06-15 21:02:09,Saudi Arabia,Uruguay,8.2786,4.2629,1.4386,2.25,1.8533,1.99,2.4803,0,2,0-2,1.0783,1-2,1.0042,0.0741,0.5265,1.8933,2.4198,0.0995,0.2173,0.6832
2026-06-15,2026-06-15 06:41:36,Spain,Cape Verde,1.0791,12.2375,32.0,3.5,1.913,1.8752,3.6483,3,0,3-0,1.2658,2-0,1.2314,0.0344,3.1558,0.4904,3.6462,0.8962,0.0791,0.0247
2026-06-16,2026-06-16 03:40:34,Argentina,Algeria,1.4029,4.4586,8.8071,2.5,1.9567,1.8483,2.6167,2,0,2-0,1.0581,2-1,1.0128,0.0453,1.9504,0.6772,2.6276,0.6823,0.2123,0.1054
2026-06-16,2026-06-17 00:49:38,Argentina,Algeria,1.574,4.1,7.05,2.5,2.06,1.854,2.5687,2,0,2-0,0.9997,2-1,0.9548,0.0448,1.918,0.6659,2.584,0.6419,0.2307,0.1273
2026-06-16,2026-06-16 03:43:42,Austria,Jordan,1.3486,5.1929,8.7286,2.75,1.86,1.9833,2.9708,2,0,2-0,1.0383,2-1,1.0229,0.0154,2.106,0.8717,2.9777,0.6929,0.191,0.1162
2026-06-16,2026-06-17 03:47:24,Austria,Jordan,1.403,4.95,9.3,2.5,1.943,1.961,2.6834,2,0,2-0,1.0392,2-1,1.0125,0.0267,1.9212,0.7952,2.7164,0.6747,0.208,0.1173
2026-06-16,2026-06-16 03:30:55,France,Senegal,1.4771,4.33,6.9814,2.5,1.8817,1.91,2.6892,2,0,2-0,0.9457,2-1,0.9419,0.0038,1.6983,0.967,2.6653,0.6086,0.2316,0.1599
2026-06-16,2026-06-16 18:01:11,France,Senegal,1.487,4.75,7.3,2.75,1.99,1.917,2.8721,2,1,2-1,0.9481,2-0,0.9452,0.0029,1.8042,1.0273,2.8315,0.6178,0.2209,0.1613
