elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.15,1.05,1.05,1.0,1.0,14.177303895659742,394.2,53,11.977272727272728,73.5,66,16.328125,80.7,60,16.604651162790695,78.0,62,17.0,82.6,53,8.976470588235294,79.4
1.1,1.05,1.05,0.95,0.95,14.177303895659742,392.3,53,11.977272727272728,73.6,67,17.328125,79.8,60,16.604651162790695,77.8,61,16.0,81.3,53,8.976470588235294,79.9
1.1,1.05,1.05,0.95,1.0,14.177303895659742,393.0,53,11.977272727272728,73.0,67,17.328125,80.4,60,16.604651162790695,78.1,61,16.0,81.6,53,8.976470588235294,80.0
1.1,1.0,1.1,1.0,0.9,14.177303895659742,393.7,53,11.977272727272728,74.0,67,17.328125,80.0,60,16.604651162790695,78.0,61,16.0,80.7,53,8.976470588235294,80.9
1.1,1.0,1.1,0.95,1.0,14.177303895659742,391.8,53,11.977272727272728,74.0,67,17.328125,79.2,60,16.604651162790695,76.9,61,16.0,80.7,53,8.976470588235294,81.1
1.2,1.0,1.1,0.95,0.9,14.177303895659742,390.4,53,11.977272727272728,73.1,66,16.328125,80.4,60,16.604651162790695,76.7,62,17.0,82.0,53,8.976470588235294,78.2
1.2,1.1,1.1,1.0,0.95,14.177303895659742,394.2,53,11.977272727272727,73.9,67,17.328125,80.6,60,16.604651162790695,77.5,61,16.0,82.6,53,8.976470588235294,79.6
1.2,1.1,1.1,1.0,0.9,14.177303895659742,395.2,53,11.977272727272727,74.0,67,17.328125,81.0,60,16.604651162790695,78.9,61,16.0,81.8,53,8.976470588235294,79.5
1.2,1.1,1.05,1.0,0.9,14.177303895659742,396.1,53,11.977272727272727,73.2,67,17.328125,81.3,60,16.604651162790695,77.6,61,16.0,82.4,53,8.976470588235294,81.6
1.2,1.1,1.05,0.95,0.95,14.177303895659742,394.1,53,11.977272727272727,73.7,66,16.328125,80.1,60,16.604651162790695,78.3,62,17.0,81.4,53,8.976470588235294,80.6
1.15,1.1,1.1,0.95,0.9,14.177303895659742,394.8,53,11.977272727272728,72.9,67,17.328125,80.2,60,16.604651162790695,78.2,61,16.0,83.3,53,8.976470588235294,80.2
1.2,1.05,1.05,0.95,0.9,14.177303895659742,411.9,53,11.977272727272728,74.0,67,17.328125,83.1,60,16.604651162790695,78.7,61,16.0,90.9,53,8.976470588235294,85.3
1.15,1.0,1.0,1.0,0.95,14.177303895659742,394.5,53,11.977272727272728,73.9,66,16.328125,80.2,60,16.604651162790695,79.3,62,17.0,81.6,53,8.976470588235294,79.6
1.2,1.05,1.0,1.05,0.9,14.177303895659742,411.0,53,11.977272727272728,73.7,66,16.328125,83.1,60,16.604651162790695,79.7,62,17.0,89.5,53,8.976470588235294,85.1
1.2,1.05,1.1,1.05,0.95,13.977303895659741,396.6,51,9.977272727272727,75.8,67,17.328125,80.1,60,16.604651162790695,78.5,62,17.0,82.4,53,8.976470588235294,79.8
1.2,1.1,1.05,0.95,1.0,13.977303895659741,393.8,53,11.977272727272727,73.1,66,16.328125,79.6,60,16.604651162790695,78.2,61,16.0,82.4,53,8.976470588235294,80.6
1.2,1.1,1.0,1.0,0.95,13.977303895659741,392.7,53,11.977272727272727,72.8,66,16.328125,80.6,60,16.604651162790695,77.4,61,16.0,81.6,53,8.976470588235294,80.2
1.2,1.1,1.0,1.0,0.9,13.977303895659741,396.4,53,11.977272727272727,75.9,68,18.328125,80.0,60,16.604651162790695,78.5,59,14.0,81.8,53,8.976470588235294,80.2
1.2,1.1,1.0,1.05,0.95,13.977303895659741,396.6,53,11.977272727272727,74.1,66,16.328125,81.2,60,16.604651162790695,78.2,61,16.0,81.9,53,8.976470588235294,81.1
1.2,1.1,1.1,1.05,0.95,13.977303895659741,299.8,53,11.977272727272727,56.9,66,16.328125,61.1,60,16.604651162790695,59.0,61,16.0,62.4,53,8.976470588235294,60.4
1.2,1.1,1.0,0.95,1.0,13.977303895659741,395.1,53,11.977272727272727,75.2,66,16.328125,80.1,60,16.604651162790695,78.3,61,16.0,81.7,53,8.976470588235294,79.8
1.2,1.1,1.05,1.0,0.95,13.977303895659741,395.4,53,11.977272727272727,74.0,66,16.328125,80.7,60,16.604651162790695,78.0,61,16.0,81.7,53,8.976470588235294,81.0
1.2,1.1,1.1,1.05,1.0,13.977303895659741,299.4,53,11.977272727272727,56.7,67,17.328125,61.1,60,16.604651162790695,58.9,60,15.0,62.4,53,8.976470588235294,60.3
1.2,1.1,1.05,0.95,0.9,13.977303895659741,395.6,53,11.977272727272727,73.5,66,16.328125,81.1,60,16.604651162790695,78.1,61,16.0,81.8,53,8.976470588235294,81.1
1.1,1.05,1.1,1.05,0.9,13.97730389565974,392.4,53,11.977272727272728,72.8,67,17.328125,80.2,60,16.604651162790695,78.5,60,15.0,81.4,53,8.976470588235294,79.4
1.1,1.0,1.1,1.0,0.95,13.97730389565974,395.0,53,11.977272727272728,74.6,67,17.328125,80.2,60,16.604651162790695,77.7,60,15.0,81.4,53,8.976470588235294,81.2
1.1,1.05,1.0,0.95,1.0,13.97730389565974,395.0,53,11.977272727272728,74.7,66,16.328125,80.2,60,16.604651162790695,77.8,61,16.0,82.5,53,8.976470588235294,79.8
1.1,1.0,1.1,0.95,0.95,13.97730389565974,395.8,53,11.977272727272728,74.5,67,17.328125,80.8,60,16.604651162790695,78.6,60,15.0,81.1,53,8.976470588235294,80.8
1.1,1.1,1.0,0.95,1.0,13.97730389565974,392.3,53,11.977272727272728,73.3,66,16.328125,80.0,60,16.604651162790695,77.3,61,16.0,82.1,53,8.976470588235294,79.5
1.1,1.05,1.0,1.0,0.95,13.97730389565974,392.2,53,11.977272727272728,72.6,66,16.328125,80.0,60,16.604651162790695,78.1,61,16.0,82.5,53,8.976470588235294,79.0
1.1,1.05,1.1,0.95,0.9,13.97730389565974,393.6,53,11.977272727272728,73.4,67,17.328125,80.5,60,16.604651162790695,77.7,60,15.0,82.2,53,8.976470588235294,79.8
1.1,1.05,1.0,1.05,0.95,13.97730389565974,393.9,53,11.977272727272728,73.7,66,16.328125,81.0,60,16.604651162790695,77.8,61,16.0,82.0,53,8.976470588235294,79.5
1.1,1.05,1.0,1.0,0.9,13.97730389565974,391.4,53,11.977272727272728,73.9,66,16.328125,79.7,60,16.604651162790695,77.6,61,16.0,81.3,53,8.976470588235294,78.9
1.2,1.05,1.0,0.95,0.95,13.97730389565974,398.2,53,11.977272727272728,72.0,65,15.328125,79.6,60,16.604651162790695,78.0,62,17.0,80.9,53,8.976470588235294,87.8
1.2,1.05,1.0,1.0,0.9,13.97730389565974,409.4,53,11.977272727272728,73.1,66,16.328125,81.3,60,16.604651162790695,79.6,61,16.0,90.4,53,8.976470588235294,84.9
1.2,1.0,1.1,1.05,0.95,13.97730389565974,397.5,53,11.977272727272728,75.3,67,17.328125,80.4,60,16.604651162790695,79.6,60,15.0,81.7,53,8.976470588235294,80.5
1.15,1.1,1.05,0.95,0.9,13.97730389565974,393.0,53,11.977272727272728,73.6,66,16.328125,79.4,60,16.604651162790695,77.8,61,16.0,81.6,53,8.976470588235294,80.5
1.15,1.1,1.05,0.95,0.95,13.97730389565974,393.2,53,11.977272727272728,73.8,66,16.328125,79.9,60,16.604651162790695,77.9,61,16.0,81.4,53,8.976470588235294,80.2
1.15,1.1,1.0,1.0,0.95,13.97730389565974,395.8,53,11.977272727272728,74.7,66,16.328125,80.3,60,16.604651162790695,78.4,61,16.0,81.6,53,8.976470588235294,80.8
1.15,1.1,1.0,0.95,0.9,13.97730389565974,395.5,53,11.977272727272728,74.0,66,16.328125,80.1,60,16.604651162790695,78.1,61,16.0,81.2,53,8.976470588235294,82.0
1.15,1.0,1.05,1.0,0.9,13.97730389565974,393.1,53,11.977272727272728,75.7,67,17.328125,80.0,60,16.604651162790695,76.9,60,15.0,81.5,53,8.976470588235294,79.0
1.15,1.0,1.05,0.95,1.0,13.97730389565974,397.4,53,11.977272727272728,75.6,66,16.328125,81.2,60,16.604651162790695,78.2,61,16.0,81.4,53,8.976470588235294,80.9
1.15,1.0,1.05,1.05,0.9,13.97730389565974,395.8,53,11.977272727272728,76.0,67,17.328125,80.5,60,16.604651162790695,77.5,60,15.0,81.8,53,8.976470588235294,80.1
1.15,1.1,1.05,0.95,1.0,13.97730389565974,394.2,53,11.977272727272728,73.7,66,16.328125,80.3,60,16.604651162790695,78.5,61,16.0,81.8,53,8.976470588235294,80.0
1.15,1.05,1.1,0.95,0.9,13.97730389565974,392.4,53,11.977272727272728,72.7,67,17.328125,80.8,60,16.604651162790695,77.8,60,15.0,81.2,53,8.976470588235294,79.9
1.1,1.0,1.1,1.05,0.95,13.97730389565974,396.3,53,11.977272727272728,73.8,67,17.328125,80.8,60,16.604651162790695,78.3,60,15.0,82.2,53,8.976470588235294,81.1
1.1,1.0,1.0,0.95,1.0,13.97730389565974,391.8,53,11.977272727272728,73.1,66,16.328125,80.2,60,16.604651162790695,76.9,61,16.0,81.4,53,8.976470588235294,80.1
1.1,1.0,1.05,0.95,0.9,13.97730389565974,393.4,53,11.977272727272728,74.0,67,17.328125,80.3,60,16.604651162790695,78.0,60,15.0,81.7,53,8.976470588235294,79.4
1.15,1.0,1.1,1.05,0.9,13.97730389565974,392.5,53,11.977272727272728,72.3,67,17.328125,81.4,60,16.604651162790695,77.9,60,15.0,81.2,53,8.976470588235294,79.8
1.1,1.1,1.1,0.95,0.95,13.97730389565974,395.6,53,11.977272727272728,73.2,67,17.328125,80.3,60,16.604651162790695,79.5,60,15.0,81.6,53,8.976470588235294,81.1
