world_cup_year,match_index,model_cumulative_points,actual_leaderboard_rank,competitors_higher_or_equal_count,total_pool_participants
2022,20,16,12,22,85
2022,21,16,15,25,85
2022,22,19,9,12,85
2022,23,22,6,8,85
2022,24,25,5,5,85
2022,25,25,5,5,85
2022,26,25,5,5,85
2022,27,26,3,4,85
2022,28,26,4,6,85
2022,29,26,5,6,85
2022,30,26,6,8,85
2022,31,27,7,8,85
2022,32,29,5,7,85
2022,33,29,5,7,85
2022,34,32,4,4,85
2022,35,33,4,4,85
2022,36,36,2,3,85
2022,37,36,2,3,85
2022,38,36,2,3,85
2022,39,39,2,1,85
2022,40,41,2,1,85
2022,41,41,2,1,85
2022,42,43,2,1,85
2022,43,43,2,1,85
2022,44,44,2,1,85
2022,45,47,1,0,85
2022,46,47,1,0,85
2022,47,48,1,0,85
2022,48,48,1,0,85
2022,49,49,1,0,85
2022,50,51,1,1,85
2022,51,52,1,1,85
2022,52,53,1,1,85
2022,53,53,1,1,85
2022,54,54,1,1,85
2022,55,54,1,1,85
2022,56,55,1,1,85
2022,57,55,1,1,85
2022,58,55,1,1,85
2022,59,55,1,1,85
2022,60,55,2,1,85
2022,61,56,2,1,85
2022,62,59,1,1,85
2022,63,62,1,0,85
2022,64,62,1,0,85
