home_team,away_team,ou_line
Bosnia-Herzegovina,Irán,2.5
Japón,Colombia,2.5
Grecia,Costa de Marfil,2.5
Costa Rica,Inglaterra,2.5
Italia,Uruguay,2.5
Camerún,Brasil,3.5
Croacia,México,2.5
Australia,España,3.5
Países Bajos,Chile,2.5
EE. UU.,Portugal,2.5
Bélgica,Rusia,2.5
Nigeria,Bosnia-Herzegovina,2.5
Alemania,Ghana,3.5
Argentina,Irán,2.5
Honduras,Ecuador,2.5
Suiza,Francia,2.5
Italia,Costa Rica,2.5
Japón,Grecia,2.5
Uruguay,Inglaterra,2.5
Colombia,Costa de Marfil,2.5
Camerún,Croacia,2.5
España,Chile,2.5
Australia,Países Bajos,2.5
Rusia,Corea del Sur,2.5
Brasil,México,2.5
Bélgica,Argelia,2.5
Ghana,EE. UU.,2.5
Irán,Nigeria,2.5
Alemania,Portugal,2.5
Argentina,Bosnia-Herzegovina,2.5
Francia,Honduras,2.5
Suiza,Ecuador,2.5
Costa de Marfil,Japón,2.5
Inglaterra,Italia,2.5
Uruguay,Costa Rica,2.5
Colombia,Grecia,1.5
España,Países Bajos,2.5
México,Camerún,1.5
Brasil,Croacia,2.5
Uruguay,Jordania,4.5
Nueva Zelanda,México,2.5
Francia,Ucrania,2.5
Suecia,Portugal,2.5
Croacia,Islandia,2.5
Rumanía,Grecia,2.5
Argelia,Burkina Faso,2.5
Egipto,Ghana,2.5
Camerún,Túnez,2.5
Senegal,Costa de Marfil,2.5
Nigeria,Etiopía,2.5
Ucrania,Francia,1.5
Grecia,Rumanía,1.5
Portugal,Suecia,2.5
Islandia,Croacia,2.5
México,Nueva Zelanda,2.5
Jordania,Uruguay,2.5
Perú,Bolivia,2.5
Costa Rica,México,2.5
Jamaica,Honduras,1.5
Panamá,EE. UU.,2.5
Uruguay,Argentina,2.5
Chile,Ecuador,1.5
Paraguay,Colombia,2.5
Bélgica,Gales,2.5
Escocia,Croacia,2.5
España,Georgia,3.5
Francia,Finlandia,2.5
Inglaterra,Polonia,2.5
San Marino,Ucrania,5.5
Suecia,Alemania,2.5
Italia,Armenia,2.5
Islas Feroe,Austria,3.5
Irlanda,Kazajistán,2.5
Serbia,Macedonia del Norte,2.5
