elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.2,1.1,1.1,1.0,1.0,14.37730389565974,392.6,53,11.977272727272728,73.3,67,17.328125,81.0,60,16.604651162790695,77.3,62,17.0,81.7,53,8.976470588235294,79.3
1.2,1.05,1.1,1.0,1.0,14.37730389565974,394.3,53,11.977272727272728,75.0,67,17.328125,80.2,60,16.604651162790695,77.9,62,17.0,81.5,53,8.976470588235294,79.8
1.2,1.1,1.1,0.95,0.95,14.37730389565974,394.2,53,11.977272727272728,73.7,67,17.328125,80.8,60,16.604651162790695,78.9,62,17.0,81.6,53,8.976470588235294,79.2
1.2,1.1,1.1,0.95,0.9,14.37730389565974,394.8,53,11.977272727272728,73.7,67,17.328125,81.0,60,16.604651162790695,77.7,62,17.0,82.4,53,8.976470588235294,80.0
1.1,1.0,1.05,0.95,0.95,14.37730389565974,393.1,53,11.977272727272728,74.0,67,17.328125,80.9,60,16.604651162790695,78.5,62,17.0,80.6,53,8.976470588235294,79.1
1.15,1.05,1.1,0.95,1.0,14.37730389565974,393.9,53,11.977272727272728,74.1,67,17.328125,80.2,60,16.604651162790695,78.0,62,17.0,81.6,53,8.976470588235294,80.1
1.15,1.0,1.05,0.95,0.9,14.37730389565974,393.1,53,11.977272727272728,73.3,67,17.328125,80.6,60,16.604651162790695,78.6,62,17.0,81.1,53,8.976470588235294,79.5
1.15,1.0,1.0,0.95,0.95,14.37730389565974,393.5,53,11.977272727272728,74.5,67,17.328125,79.7,60,16.604651162790695,77.7,62,17.0,81.3,53,8.976470588235294,80.3
1.15,1.05,1.1,1.0,0.95,14.37730389565974,388.1,53,11.977272727272728,72.7,67,17.328125,79.0,60,16.604651162790695,77.1,62,17.0,81.5,53,8.976470588235294,77.8
1.2,1.05,1.1,0.95,1.0,14.37730389565974,411.6,53,11.977272727272728,78.6,67,17.328125,84.0,60,16.604651162790695,80.3,62,17.0,87.3,53,8.976470588235294,81.4
1.15,1.05,1.05,0.95,1.0,14.37730389565974,393.9,53,11.977272727272728,73.5,67,17.328125,80.3,60,16.604651162790695,77.7,62,17.0,82.2,53,8.976470588235294,80.1
1.15,1.0,1.05,1.0,1.0,14.37730389565974,394.4,53,11.977272727272728,75.7,67,17.328125,80.5,60,16.604651162790695,77.3,62,17.0,81.2,53,8.976470588235294,79.7
1.15,1.0,1.0,0.95,0.9,14.37730389565974,393.9,53,11.977272727272728,74.3,67,17.328125,79.8,60,16.604651162790695,77.8,62,17.0,81.7,53,8.976470588235294,80.3
1.15,1.0,1.0,0.95,1.0,14.37730389565974,392.8,53,11.977272727272728,73.2,67,17.328125,79.6,60,16.604651162790695,78.4,62,17.0,82.3,53,8.976470588235294,79.3
1.15,1.0,1.05,0.95,0.95,14.37730389565974,394.6,53,11.977272727272728,75.7,67,17.328125,80.7,60,16.604651162790695,77.7,62,17.0,81.5,53,8.976470588235294,79.0
1.1,1.0,1.1,0.95,0.9,14.37730389565974,392.0,53,11.977272727272728,73.0,67,17.328125,81.6,60,16.604651162790695,77.9,62,17.0,80.5,53,8.976470588235294,79.0
1.15,1.0,1.1,0.95,0.95,14.37730389565974,396.6,53,11.977272727272728,75.9,67,17.328125,81.0,60,16.604651162790695,77.8,62,17.0,81.2,53,8.976470588235294,80.7
1.15,1.0,1.1,0.95,0.9,14.37730389565974,395.3,53,11.977272727272728,75.8,67,17.328125,80.4,60,16.604651162790695,77.8,62,17.0,81.4,53,8.976470588235294,79.9
1.25,1.05,1.0,0.95,1.0,14.177303895659742,562.7,54,12.977272727272728,105.5,65,15.328125,114.3,60,16.604651162790695,113.9,62,17.0,115.1,53,8.976470588235294,113.8
1.25,1.0,1.1,1.0,0.95,14.177303895659742,567.5,53,11.977272727272728,108.5,66,16.328125,116.6,60,16.604651162790695,111.3,62,17.0,119.1,53,8.976470588235294,111.9
1.2,1.05,1.0,1.05,0.9,14.177303895659742,411.0,53,11.977272727272728,73.7,66,16.328125,83.1,60,16.604651162790695,79.7,62,17.0,89.5,53,8.976470588235294,85.1
1.15,1.0,1.0,1.0,0.95,14.177303895659742,394.5,53,11.977272727272728,73.9,66,16.328125,80.2,60,16.604651162790695,79.3,62,17.0,81.6,53,8.976470588235294,79.6
1.15,1.1,1.1,1.0,0.9,14.177303895659742,395.0,53,11.977272727272728,72.5,67,17.328125,80.6,60,16.604651162790695,79.3,61,16.0,81.9,53,8.976470588235294,80.7
1.2,1.0,1.05,0.95,0.95,14.177303895659742,396.5,53,11.977272727272728,74.4,66,16.328125,80.9,60,16.604651162790695,78.1,62,17.0,82.3,53,8.976470588235294,80.9
1.15,1.05,1.05,1.0,1.0,14.177303895659742,394.2,53,11.977272727272728,73.5,66,16.328125,80.7,60,16.604651162790695,78.0,62,17.0,82.6,53,8.976470588235294,79.4
1.1,1.05,1.05,0.95,0.95,14.177303895659742,392.3,53,11.977272727272728,73.6,67,17.328125,79.8,60,16.604651162790695,77.8,61,16.0,81.3,53,8.976470588235294,79.9
1.1,1.05,1.05,0.95,1.0,14.177303895659742,393.0,53,11.977272727272728,73.0,67,17.328125,80.4,60,16.604651162790695,78.1,61,16.0,81.6,53,8.976470588235294,80.0
1.1,1.0,1.1,1.0,0.9,14.177303895659742,393.7,53,11.977272727272728,74.0,67,17.328125,80.0,60,16.604651162790695,78.0,61,16.0,80.7,53,8.976470588235294,80.9
1.1,1.0,1.1,0.95,1.0,14.177303895659742,391.8,53,11.977272727272728,74.0,67,17.328125,79.2,60,16.604651162790695,76.9,61,16.0,80.7,53,8.976470588235294,81.1
1.2,1.0,1.1,0.95,0.9,14.177303895659742,390.4,53,11.977272727272728,73.1,66,16.328125,80.4,60,16.604651162790695,76.7,62,17.0,82.0,53,8.976470588235294,78.2
1.2,1.1,1.1,1.0,0.95,14.177303895659742,394.2,53,11.977272727272728,73.9,67,17.328125,80.6,60,16.604651162790695,77.5,61,16.0,82.6,53,8.976470588235294,79.6
1.2,1.1,1.1,1.0,0.9,14.177303895659742,395.2,53,11.977272727272728,74.0,67,17.328125,81.0,60,16.604651162790695,78.9,61,16.0,81.8,53,8.976470588235294,79.5
1.2,1.1,1.05,1.0,0.9,14.177303895659742,396.1,53,11.977272727272728,73.2,67,17.328125,81.3,60,16.604651162790695,77.6,61,16.0,82.4,53,8.976470588235294,81.6
1.2,1.1,1.05,0.95,0.95,14.177303895659742,394.1,53,11.977272727272728,73.7,66,16.328125,80.1,60,16.604651162790695,78.3,62,17.0,81.4,53,8.976470588235294,80.6
1.15,1.1,1.1,0.95,0.9,14.177303895659742,394.8,53,11.977272727272728,72.9,67,17.328125,80.2,60,16.604651162790695,78.2,61,16.0,83.3,53,8.976470588235294,80.2
1.2,1.05,1.05,0.95,0.9,14.177303895659742,411.9,53,11.977272727272728,74.0,67,17.328125,83.1,60,16.604651162790695,78.7,61,16.0,90.9,53,8.976470588235294,85.3
1.25,1.1,1.1,1.0,0.9,14.177303895659742,754.7,53,11.977272727272728,95.0,66,16.328125,209.7,60,16.604651162790695,234.9,62,17.0,108.8,53,8.976470588235294,106.4
1.25,1.1,1.1,0.95,0.95,14.177303895659742,753.3,53,11.977272727272728,96.6,66,16.328125,208.2,60,16.604651162790695,238.2,62,17.0,105.8,53,8.976470588235294,104.5
1.25,1.0,1.1,0.95,1.0,14.177303895659742,565.7,53,11.977272727272728,106.7,66,16.328125,116.6,60,16.604651162790695,111.6,62,17.0,115.8,53,8.976470588235294,115.0
1.25,1.0,1.1,0.95,0.95,14.177303895659742,560.9,53,11.977272727272728,105.9,66,16.328125,114.0,60,16.604651162790695,113.6,62,17.0,115.6,53,8.976470588235294,111.8
1.25,1.1,1.1,1.05,0.9,14.177303895659742,751.2,53,11.977272727272728,93.4,67,17.328125,225.8,60,16.604651162790695,221.6,61,16.0,108.0,53,8.976470588235294,102.5
1.25,1.1,1.1,0.95,0.9,14.177303895659742,753.4,53,11.977272727272728,94.1,66,16.328125,198.2,60,16.604651162790695,246.4,62,17.0,109.2,53,8.976470588235294,105.4
1.25,1.05,1.05,1.0,0.9,14.177303895659742,557.8,53,11.977272727272728,103.5,66,16.328125,114.0,60,16.604651162790695,111.1,62,17.0,115.4,53,8.976470588235294,113.8
1.25,1.05,1.05,0.95,0.95,14.177303895659742,558.5,53,11.977272727272728,103.4,66,16.328125,115.9,60,16.604651162790695,108.4,62,17.0,117.9,53,8.976470588235294,112.9
1.25,1.05,1.1,1.0,0.95,14.177303895659742,563.9,53,11.977272727272728,103.7,66,16.328125,115.5,60,16.604651162790695,110.2,62,17.0,119.3,53,8.976470588235294,115.2
1.25,1.05,1.1,0.95,0.95,14.177303895659742,567.9,53,11.977272727272728,104.0,66,16.328125,117.1,60,16.604651162790695,110.2,62,17.0,118.1,53,8.976470588235294,118.5
1.25,1.05,1.1,0.95,0.9,14.177303895659742,558.3,53,11.977272727272728,100.0,66,16.328125,116.3,60,16.604651162790695,110.8,62,17.0,119.8,53,8.976470588235294,111.3
1.25,1.05,1.05,0.95,0.9,14.177303895659742,563.8,52,10.977272727272728,106.0,67,17.328125,115.7,60,16.604651162790695,110.4,62,17.0,116.5,53,8.976470588235294,115.3
1.25,1.0,1.1,1.0,0.9,14.177303895659742,562.3,53,11.977272727272728,103.6,66,16.328125,115.6,60,16.604651162790695,115.2,62,17.0,114.6,53,8.976470588235294,113.3
1.25,1.0,1.1,1.05,1.0,14.177303895659742,570.2,53,11.977272727272728,105.1,66,16.328125,120.0,60,16.604651162790695,112.7,62,17.0,118.7,53,8.976470588235294,113.6
1.25,1.1,1.05,0.95,0.95,14.177303895659742,563.2,53,11.977272727272728,106.6,66,16.328125,113.7,60,16.604651162790695,109.7,62,17.0,119.2,53,8.976470588235294,114.0
1.25,1.1,1.05,1.0,1.0,14.177303895659742,561.8,53,11.977272727272728,103.3,67,17.328125,115.6,60,16.604651162790695,113.3,61,16.0,117.0,53,8.976470588235294,112.6
1.25,1.1,1.0,0.95,1.0,14.177303895659742,560.8,54,12.977272727272728,103.4,65,15.328125,116.0,60,16.604651162790695,110.8,62,17.0,116.7,53,8.976470588235294,114.0
1.25,1.1,1.0,0.95,0.95,14.177303895659742,559.8,54,12.977272727272728,103.7,65,15.328125,113.7,60,16.604651162790695,112.8,62,17.0,116.7,53,8.976470588235294,112.9
1.0,1.1,1.05,0.95,1.0,14.177303895659742,562.3,55,13.977272727272728,102.0,66,16.328125,114.9,60,16.604651162790695,111.6,60,15.0,120.0,53,8.976470588235294,113.6
1.0,1.05,1.1,1.05,0.95,14.177303895659742,547.4,54,12.977272727272728,102.0,67,17.328125,111.3,60,16.604651162790695,108.2,60,15.0,113.6,53,8.976470588235294,112.3
