year,home_team,away_team,lambda_total,k,prediction,actual,points
2018,Argentina,Croatia,2.3092758498249992,1.1265034999999999,2-0,0-3,0
2018,Brazil,Costa Rica,2.7865378926719995,1.0912536,2-0,2-0,3
2018,Nigeria,Iceland,2.3339444044329998,1.1247437,2-1,2-0,2
2018,Serbia,Switzerland,2.3341500937,1.1247289999999999,1-2,1-2,3
2018,Belgium,Tunisia,2.7378035923770003,1.0949769,2-0,5-2,1
2018,South Korea,Mexico,2.7213047660519996,1.0962306,1-2,1-2,3
2018,Germany,Sweden,3.0640524504329996,1.0694437,2-1,2-1,3
2018,England,Panama,2.663833780233,1.1005713,2-0,6-1,1
2018,Japan,Senegal,2.285880085873,1.1281667,1-2,2-2,0
2018,Poland,Colombia,2.629604015625,1.1031374999999999,0-2,0-3,1
2018,Uruguay,Russia,2.3618029378329997,1.1227487,2-0,3-0,1
2018,Saudi Arabia,Egypt,2.7047332830720006,1.0974864,0-2,2-1,0
2018,Spain,Morocco,2.942653029633,1.0791163000000001,2-0,2-2,0
2018,Iran,Portugal,2.536511754825,1.1100465,0-2,1-1,0
2018,Australia,Peru,2.671315641825,1.1000085,0-2,0-2,3
2018,Denmark,France,2.294721864208,1.1275388,0-2,0-0,0
2018,Iceland,Croatia,2.7397075967999998,1.094832,0-2,1-2,2
2018,Nigeria,Argentina,2.984333496393,1.0758193,0-2,1-2,2
2018,South Korea,Germany,3.1704541878119996,1.0607854,0-2,2-0,0
2018,Mexico,Sweden,2.6948743831770003,1.0982319,1-2,0-3,1
2018,Serbia,Brazil,3.148821884457,1.0625599000000001,0-2,0-2,3
2018,Switzerland,Costa Rica,2.5849258691999997,1.106466,2-0,2-2,0
2018,Japan,Poland,2.760941975337,1.0932129,1-2,0-1,1
2018,Senegal,Colombia,2.5230444025530003,1.1110377,0-2,0-1,1
2018,England,Belgium,2.328535501057,1.1251301,2-1,0-1,0
2018,Panama,Tunisia,2.5858593032729997,1.1063967,1-2,1-2,3
2018,France,Argentina,2.2955197311369995,1.1274821,0-2,4-3,0
2018,Uruguay,Portugal,2.3241523393000003,1.125443,1-2,2-1,0
2018,Spain,Russia,2.732612826273,1.0953717,2-0,1-1,0
2018,Croatia,Denmark,2.2641270827769997,1.1297081,2-1,1-1,0
2018,Brazil,Mexico,2.824168512153,1.0883577,2-0,2-0,3
2018,Belgium,Japan,2.813359602372,1.0891914,2-0,3-2,1
2018,Sweden,Switzerland,2.2721664096999996,1.129139,1-1,1-0,0
2018,Colombia,England,2.1570117999999994,1.13,1-0,1-1,0
2018,Uruguay,France,2.336940980425,1.1245295,1-2,0-2,2
2018,Brazil,Belgium,2.791271919513,1.0908902999999999,2-0,1-2,0
2018,Sweden,England,2.263622462308,1.1297438,0-2,0-2,3
2018,Russia,Croatia,2.2824467979129994,1.1284102999999999,0-2,2-2,0
2018,France,Belgium,2.7083118794250005,1.0972155,2-1,1-0,1
2018,Croatia,England,2.2304730999999998,1.13,0-2,2-1,0
2018,Belgium,England,2.980417641057,1.0761301,1-2,2-0,0
2018,France,Croatia,2.276552984068,1.1288281999999998,2-0,4-2,1
2022,Senegal,Netherlands,2.4334230467999998,1.1175819999999999,0-2,0-2,3
2022,England,Iran,2.3619590156249997,1.1227375,2-0,6-2,1
2022,Qatar,Ecuador,2.517481894825,1.1114465,0-2,0-2,3
2022,United States,Wales,2.347692384228,1.1237602,1-2,1-1,0
2022,Argentina,Saudi Arabia,3.1248064692329995,1.0645213,2-0,1-2,0
2022,Denmark,Tunisia,2.500746615993,1.1126743,2-0,0-0,0
2022,Mexico,Poland,2.5491166447769995,1.1091168999999999,1-2,0-0,0
2022,France,Australia,3.0986355159720005,1.0666486000000002,2-0,4-1,1
2022,Morocco,Croatia,2.4797909089529995,1.1142073,1-2,0-0,0
2022,Germany,Japan,3.2539032,1.06,2-0,1-2,0
2022,Spain,Costa Rica,3.1874836,1.06,2-0,7-0,1
2022,Belgium,Canada,3.038411735425,1.0715045,2-0,1-0,1
2022,Switzerland,Cameroon,2.486975080953,1.1136823,2-0,1-0,1
2022,Uruguay,South Korea,2.4591718660169994,1.1157108999999998,2-0,0-0,0
2022,Portugal,Ghana,2.888398690191999,1.0833716,2-0,3-2,1
2022,Brazil,Serbia,2.920055678272,1.0808936,2-0,2-0,3
2022,Wales,Iran,2.2972727456249995,1.1273575,0-1,0-2,1
2022,Qatar,Senegal,2.437157183097,1.1173111,0-2,1-3,1
2022,Netherlands,Ecuador,2.6473492982969997,1.1018089,2-0,1-1,0
2022,England,United States,2.5950166416329994,1.1057162999999999,2-0,0-0,0
2022,Tunisia,Australia,2.4666955070880006,1.1151628,1-2,0-1,1
2022,Poland,Saudi Arabia,2.5748945922569995,1.1072100999999999,2-0,2-0,3
2022,France,Denmark,2.4853377828,1.113802,2-1,2-1,3
2022,Argentina,Mexico,2.5288304333369998,1.1106121,2-0,2-0,3
2022,Japan,Costa Rica,2.5812473697,1.106739,2-1,0-1,0
2022,Belgium,Morocco,2.5561392136679997,1.1085981999999999,2-0,0-2,0
2022,Croatia,Canada,2.6086057265279994,1.1047048,2-0,4-1,1
2022,Spain,Germany,3.010079086912,1.0737704000000001,2-1,1-1,0
2022,Cameroon,Serbia,2.517291313425,1.1114605,0-2,3-3,0
2022,South Korea,Ghana,2.392063490832,1.1205724,2-1,2-3,0
2022,Brazil,Switzerland,2.515089692388,1.1116222,2-0,1-0,1
2022,Portugal,Uruguay,2.4598928929919994,1.1156583999999998,2-1,2-0,2
