bucket,matches,avg_model,avg_market,avg_gap
<2.5,20,2.270905,2.2875,-0.016595000000000026
2.5-3.0,23,2.7423347826086957,2.4347826086956523,0.3075521739130434
>3.0,29,3.3529,2.75,0.6029000000000001
