G,2002-05-31T20:30:00+09:00,FRA,SEN
G,2002-06-01T15:30:00+09:00,IRL,CMR
G,2002-06-01T18:00:00+09:00,URU,DEN
G,2002-06-01T20:30:00+09:00,GER,KSA
G,2002-06-02T18:30:00+09:00,ENG,SWE
G,2002-06-02T16:30:00+09:00,PAR,RSA
G,2002-06-02T14:30:00+09:00,ARG,NGA
G,2002-06-02T20:30:00+09:00,ESP,SVN
G,2002-06-03T15:30:00+09:00,CRO,MEX
G,2002-06-03T18:00:00+09:00,BRA,TUR
G,2002-06-03T20:30:00+09:00,ITA,ECU
G,2002-06-04T15:30:00+09:00,CHN,CRC
G,2002-06-04T18:00:00+09:00,JPN,BEL
G,2002-06-04T20:30:00+09:00,KOR,POL
G,2002-06-05T15:30:00+09:00,RUS,TUN
G,2002-06-05T18:00:00+09:00,USA,POR
G,2002-06-05T20:30:00+09:00,GER,IRL
G,2002-06-06T20:30:00+09:00,FRA,URU
G,2002-06-06T18:00:00+09:00,CMR,KSA
G,2002-06-06T15:30:00+09:00,DEN,SEN
G,2002-06-07T15:30:00+09:00,SWE,NGA
G,2002-06-07T18:00:00+09:00,ESP,PAR
G,2002-06-07T20:30:00+09:00,ARG,ENG
G,2002-06-08T15:30:00+09:00,RSA,SVN
G,2002-06-08T18:00:00+09:00,ITA,CRO
G,2002-06-08T20:30:00+09:00,BRA,CHN
G,2002-06-09T15:30:00+09:00,MEX,ECU
G,2002-06-09T18:00:00+09:00,CRC,TUR
G,2002-06-09T20:30:00+09:00,JPN,RUS
G,2002-06-10T15:30:00+09:00,KOR,USA
G,2002-06-10T18:00:00+09:00,TUN,BEL
G,2002-06-10T20:30:00+09:00,POR,POL
G,2002-06-11T15:30:00+09:00,FRA,DEN
G,2002-06-11T15:30:00+09:00,SEN,URU
G,2002-06-11T20:30:00+09:00,CMR,GER
G,2002-06-11T20:30:00+09:00,KSA,IRL
G,2002-06-12T15:30:00+09:00,ARG,SWE
G,2002-06-12T15:30:00+09:00,ENG,NGA
G,2002-06-12T20:30:00+09:00,RSA,ESP
G,2002-06-12T20:30:00+09:00,PAR,SVN
G,2002-06-13T15:30:00+09:00,CRC,BRA
G,2002-06-13T15:30:00+09:00,CHN,TUR
G,2002-06-13T20:30:00+09:00,MEX,ITA
G,2002-06-13T20:30:00+09:00,ECU,CRO
G,2002-06-14T15:30:00+09:00,TUN,JPN
G,2002-06-14T15:30:00+09:00,BEL,RUS
G,2002-06-14T20:30:00+09:00,POR,KOR
G,2002-06-14T20:30:00+09:00,POL,USA
8,2002-06-15T15:30:00+09:00,GER,PAR
8,2002-06-15T20:30:00+09:00,DEN,ENG
8,2002-06-16T15:30:00+09:00,SWE,SEN
8,2002-06-16T20:30:00+09:00,ESP,IRL
8,2002-06-17T15:30:00+09:00,MEX,USA
8,2002-06-17T20:30:00+09:00,BRA,BEL
8,2002-06-18T15:30:00+09:00,JPN,TUR
8,2002-06-18T20:30:00+09:00,KOR,ITA
4,2002-06-21T15:30:00+09:00,ENG,BRA
4,2002-06-21T20:30:00+09:00,GER,USA
4,2002-06-22T15:30:00+09:00,ESP,KOR
4,2002-06-22T20:30:00+09:00,SEN,TUR
2,2002-06-25T20:30:00+09:00,GER,KOR
2,2002-06-26T20:30:00+09:00,BRA,TUR
1,2002-06-29T20:00:00+09:00,KOR,TUR
0,2002-06-30T20:00:00+09:00,GER,BRA
